Gene	Stage	Segment	Bmori_cDNA_1	Bmand_cDNA_1	Bmand_gDNA_1	Bmori_gDNA_1	Bmori_cDNA_2	Bmand_cDNA_2	Bmand_gDNA_2	Bmori_gDNA_2	Bmori_cDNA_3	Bmand_cDNA_3	Bmand_gDNA_3	Bmori_gDNA_3	Bmori_cDNA_4	Bmand_cDNA_4	Bmand_gDNA_4	Bmori_gDNA_4	tx_cDNA_BmandBmori_biol_1_mean	tx_cDNA_BmandBmori_biol_2_mean	tx_cDNA_BmandBmori_biol_3_mean	tx_cDNA_BmandBmori_biol_4_mean	tx_gDNA_BmandBmori_biol_1	tx_gDNA_BmandBmori_biol_2	tx_gDNA_BmandBmori_biol_3	tx_gDNA_BmandBmori_biol_4	Bmand_cDNA_mean	Bmori_cDNA_mean	Bmand_gDNA_mean	Bmori_gDNA_mean	cDNA_div	gDNA_div	log2_OD	mean_Bmand_cDNA_caudal	mean_Bmori_cDNA_caudal	MEAN_Bmand_cDNA_caudal_Bmori_cDNA_caudal
1.wnt9	L5	caudal	977.666666666667	922.666666666667	2979	2884	978.333333333333	980.333333333333	9492	8939	1088.33333333333	1221.33333333333	9212	8685	919	537	8124	7883	1900.33333333333	1958.66666666667	2309.66666666667	1456	5863	18431	17897	16007	915.333333333333	990.833333333333	7451.75	7097.75	0.923801513877208	1.04987496037477	-0.184562698292328	915.333333333333	990.833333333333	0.923801513877208
10.IntB3	L5	caudal	482	546.666666666667	840	889	268	301	2563	2643	374.333333333333	422.333333333333	951	871	563.333333333333	619.333333333333	5333	5234	1028.66666666667	569	796.666666666667	1182.66666666667	1729	5206	1822	10567	472.333333333333	421.916666666667	2421.75	2409.25	1.11949437092633	1.00518833661928	0.155381437429435	472.333333333333	421.916666666667	1.11949437092633
11.IntB-PS-like	L5	caudal	1733	1820.66666666667	3190	3263	1296.33333333333	1565.66666666667	6307	6486	1417.66666666667	1944.33333333333	7282	7239	1405.66666666667	1834	6904	6978	3553.66666666667	2862	3362	3239.66666666667	6453	12793	14521	13882	1791.16666666667	1463.16666666667	5920.75	5991.5	1.22417131791776	0.988191604773429	0.308942767135952	1791.16666666667	1463.16666666667	1.22417131791776
12.Teneurin-2	L5	caudal	568.666666666667	1018.33333333333	5363	5253	537	586	16541	16498	706.333333333333	394.333333333333	14590	14652	715	671.333333333333	15764	15822	1587	1123	1100.66666666667	1386.33333333333	10616	33039	29242	31586	667.5	631.75	13064.5	13056.25	1.05658884052236	1.00063188128291	0.0785027535308635	667.5	631.75	1.05658884052236
13.STPK26-like	L5	caudal	117	127.333333333333	999	971	248.333333333333	281	1918	1897	151	149.5	863	831	288.5	246.5	5	3	244.333333333333	529.333333333333	300.5	535	1970	3815	1694	8	201.083333333333	201.208333333333	946.25	925.5	0.999378753365086	1.02242031334414	-0.0328849529594243	201.083333333333	201.208333333333	0.999378753365086
2.wnt1	L5	caudal	321	942	2199	2171	244.333333333333	477.333333333333	2504	2427	79	280.333333333333	1538	1565	408	676.666666666667	26700	25623	1263	721.666666666667	359.333333333333	1084.66666666667	4370	4931	3103	52323	594.083333333333	263.083333333333	8235.25	7946.5	2.25815647766867	1.0363367520292	1.12365258513972	594.083333333333	263.083333333333	2.25815647766867
3.wnt6	L5	caudal	345.333333333333	1237.33333333333	1242	1150	212.666666666667	786	1327	1297	104.333333333333	555	1018	991	493	992.666666666667	37	39	1582.66666666667	998.666666666667	659.333333333333	1485.66666666667	2392	2624	2009	76	892.75	288.833333333333	906	869.25	3.09088286208886	1.04227782571182	1.56827909182844	892.75	288.833333333333	3.09088286208886
4.wnt10	L5	caudal	704.333333333333	589.666666666667	5478	5088	355.333333333333	278.666666666667	11928	11502	602.666666666667	614	12210	11511	118	81	12836	11607	1294	634	1216.66666666667	199	10566	23430	23721	24443	390.833333333333	445.083333333333	10613	9927	0.878112712975098	1.06910446257681	-0.283924787680105	390.833333333333	445.083333333333	0.878112712975098
5.ninaC	L5	caudal	2588.33333333333	2777	5400	5132	1464	1659.66666666667	11889	11174	3338.33333333333	3883.33333333333	9020	8501	855	719.333333333333	10188	9822	5365.33333333333	3123.66666666667	7221.66666666667	1574.33333333333	10532	23063	17521	20010	2259.83333333333	2061.41666666667	9124.25	8657.25	1.09625257711121	1.05394322677525	0.0567830794370343	2259.83333333333	2061.41666666667	1.09625257711121
6.lolaI	L5	caudal	472.666666666667	418.666666666667	399	372	556	606	948	1061	514.666666666667	396	467	544	873.333333333333	661	5015	5263	891.333333333333	1162	910.666666666667	1534.33333333333	771	2009	1011	10278	520.416666666667	604.166666666667	1707.25	1810	0.861379310344828	0.943232044198895	-0.13096405989423	520.416666666667	604.166666666667	0.861379310344828
7.Lip3-like	L5	caudal	469.333333333333	443.666666666667	1324	1412	440	451.333333333333	1073	1057	269.333333333333	271.333333333333	735	757	76	96.3333333333333	25600	23121	913	891.333333333333	540.666666666667	172.333333333333	2736	2130	1492	48721	315.666666666667	313.666666666667	7183	6586.75	1.00637619553666	1.09052264014878	-0.115850019087801	315.666666666667	313.666666666667	1.00637619553666
