Gene	Stage	Segment	Bmori_cDNA_1	Bmand_cDNA_1	Bmand_gDNA_1	Bmori_gDNA_1	Bmori_cDNA_2	Bmand_cDNA_2	Bmand_gDNA_2	Bmori_gDNA_2	Bmori_cDNA_3	Bmand_cDNA_3	Bmand_gDNA_3	Bmori_gDNA_3	Bmori_cDNA_4	Bmand_cDNA_4	Bmand_gDNA_4	Bmori_gDNA_4	tx_cDNA_BmandBmori_biol_1_mean	tx_cDNA_BmandBmori_biol_2_mean	tx_cDNA_BmandBmori_biol_3_mean	tx_cDNA_BmandBmori_biol_4_mean	tx_gDNA_BmandBmori_biol_1	tx_gDNA_BmandBmori_biol_2	tx_gDNA_BmandBmori_biol_3	tx_gDNA_BmandBmori_biol_4	Bmand_cDNA_mean	Bmori_cDNA_mean	Bmand_gDNA_mean	Bmori_gDNA_mean	cDNA_div	gDNA_div	log2_OD	mean_Bmand_cDNA_noncaudal	mean_Bmori_cDNA_noncaudal	MEAN_Bmand_cDNA_caudal_Bmori_cDNA_noncaudal
1.wnt9	L1	noncaudal	575.666666666667	825	2979	2884	651.666666666667	750.333333333333	9492	8939	761	811.666666666667	9212	8685	1160.33333333333	1058.66666666667	8124	7883	1400.66666666667	1402	1572.66666666667	2219	5863	18431	17897	16007	861.416666666667	787.166666666667	7451.75	7097.75	1.09432564048274	1.04987496037477	0.0598245936138431	861.416666666667	787.166666666667	1.09432564048274
10.IntB3	L1	noncaudal	41	109.666666666667	840	889	204.333333333333	201.333333333333	2563	2643	537.333333333333	438.666666666667	951	871	348.333333333333	375.333333333333	5333	5234	150.666666666667	405.666666666667	976	723.666666666667	1729	5206	1822	10567	281.25	282.75	2421.75	2409.25	0.994694960212202	1.00518833661928	-0.0151397644641934	281.25	282.75	0.994694960212202
11.IntB-PS-like	L1	noncaudal	362.333333333333	334.666666666667	3190	3263	859	933	6307	6486	1137.33333333333	1433	7282	7239	1098	1127.33333333333	6904	6978	697	1792	2570.33333333333	2225.33333333333	6453	12793	14521	13882	957	864.166666666667	5920.75	5991.5	1.10742526518804	0.988191604773429	0.164346637037584	957	864.166666666667	1.10742526518804
12.Teneurin-2	L1	noncaudal	312	200.666666666667	5363	5253	374.333333333333	375.333333333333	16541	16498	795.333333333333	503.333333333333	14590	14652	430.333333333333	348	15764	15822	512.666666666667	749.666666666667	1298.66666666667	778.333333333333	10616	33039	29242	31586	356.833333333333	478	13064.5	13056.25	0.746513249651325	1.00063188128291	-0.422671552415673	356.833333333333	478	0.746513249651325
13.STPK26-like	L1	noncaudal	18	16.3333333333333	999	971	180.333333333333	196.333333333333	1918	1897	358.333333333333	380.666666666667	863	831	479.5	491	5	3	34.3333333333333	376.666666666667	739	970.5	1970	3815	1694	8	271.083333333333	259.041666666667	946.25	925.5	1.04648544313978	1.02242031334414	0.0335638385011669	271.083333333333	259.041666666667	1.04648544313978
2.wnt1	L1	noncaudal	43.3333333333333	36	2199	2171	422	374.666666666667	2504	2427	506.666666666667	433.333333333333	1538	1565	325.333333333333	267	26700	25623	79.3333333333333	796.666666666667	940	592.333333333333	4370	4931	3103	52323	277.75	324.333333333333	8235.25	7946.5	0.856372045220966	1.0363367520292	-0.275183267838171	277.75	324.333333333333	0.856372045220966
3.wnt6	L1	noncaudal	467.333333333333	509	1242	1150	350	355.666666666667	1327	1297	438.666666666667	378.333333333333	1018	991	257	224.333333333333	37	39	976.333333333333	705.666666666667	817	481.333333333333	2392	2624	2009	76	366.833333333333	378.25	906	869.25	0.969817140339282	1.04227782571182	-0.103955231364943	366.833333333333	378.25	0.969817140339282
4.wnt10	L1	noncaudal	136.333333333333	38.6666666666667	5478	5088	550	357	11928	11502	1004	945.333333333333	12210	11511	336.333333333333	433.666666666667	12836	11607	175	907	1949.33333333333	770	10566	23430	23721	24443	443.666666666667	506.666666666667	10613	9927	0.875657894736842	1.06910446257681	-0.287963578609765	443.666666666667	506.666666666667	0.875657894736842
5.ninaC	L1	noncaudal	301.666666666667	324	5400	5132	1355.33333333333	1460.33333333333	11889	11174	1478.66666666667	1573.66666666667	9020	8501	3462	4044	10188	9822	625.666666666667	2815.66666666667	3052.33333333333	7506	10532	23063	17521	20010	1850.5	1649.41666666667	9124.25	8657.25	1.1219117869954	1.05394322677525	0.0901620902709007	1850.5	1649.41666666667	1.1219117869954
6.lolaI	L1	noncaudal	126	93	399	372	199.666666666667	197	948	1061	818.666666666667	784.666666666667	467	544	834.333333333333	752	5015	5263	219	396.666666666667	1603.33333333333	1586.33333333333	771	2009	1011	10278	456.666666666667	494.666666666667	1707.25	1810	0.923180592991914	0.943232044198895	-0.0309998353728051	456.666666666667	494.666666666667	0.923180592991914
